genre_ids,origin_country,original_language,popularity,vote_average,vote_count,year
"[10766, 35, 18]",['BR'],pt,31.0863,6.3,33,1995.0
"[18, 10765, 10768]",['US'],en,27.3843,7.713,823,2019.0
[18],['US'],en,28.2176,7.8,873,1994.0
"[18, 80, 10765]",['US'],en,26.5746,7.6,3542,2014.0
[99],['US'],en,27.6803,7.062,130,1974.0
"[9648, 18, 10759]",['JP'],ja,28.8228,8.2,2329,2020.0
[35],['US'],en,25.3309,7.194,1619,2011.0
[99],['JP'],ja,26.0871,8.0,1,2014.0
"[35, 99, 16, 10751]",['SU'],ru,24.9013,7.6,8,1962.0
"[10765, 18, 10759]",['US'],en,27.771,7.8,1013,1995.0
"[35, 10765, 18]",['US'],en,26.2803,7.843,1306,2020.0
"[80, 18]",['CO'],es,25.2526,7.7,1214,2009.0
"[10767, 10763]",['DE'],de,26.9728,4.2,5,1991.0
[10764],"['KR', 'US']",ko,23.7354,7.4,17,2013.0
"[80, 18, 10759]",['US'],en,26.8045,8.2,4851,2015.0
[18],['US'],en,26.7669,7.153,573,2012.0
[18],['US'],en,26.0366,7.777,535,2003.0
"[10759, 16, 35, 10762, 10751]",['US'],en,25.8223,7.543,948,1998.0
[18],['US'],en,22.8355,5.6,7,1950.0
[18],['GB'],en,24.8564,6.3,9,1970.0
"[80, 18]",['US'],en,24.8772,7.663,416,2020.0
"[10759, 18, 9648]",['US'],en,25.692,7.2,58,1963.0
[10763],['DE'],de,27.655,4.4,5,1999.0
"[35, 10765]",['US'],en,23.8595,7.9,412,1965.0
[35],['US'],en,25.4593,8.062,1050,2005.0
"[10765, 18, 35]",['KR'],ko,25.5965,8.728,68,2025.0
"[18, 35]",['TR'],tr,23.9918,7.2,18,2025.0
[18],['US'],en,25.0304,7.7,966,2016.0
"[10759, 18, 80]",['US'],en,24.6371,7.6,308,2018.0
"[37, 18]",['US'],en,25.8222,6.3,32,1962.0
"[18, 80]",['US'],en,24.6347,7.6,239,2020.0
"[35, 10751, 10765]",['US'],en,25.5732,7.8,1161,1996.0
[10764],['US'],en,20.4405,7.6,118,2019.0
"[35, 18]",['US'],en,25.7159,7.3,355,2021.0
"[10759, 18, 80]",['US'],en,28.3323,6.0,508,1989.0
[80],['CN'],zh,26.3914,0.0,0,2013.0
